IDENT_INTRT;IDENT_INFRA;DAT_INFRA_COMMI;COD_TYP_DEFDR;COD_MUNI_LIEU;TYP_DOCUM_INTRT;CODE_LOI_REGLEMENT;NO_ARTCL_L_R;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;DESC_TYP_VEH_INFRA;DESCN_CAT_INFRA;MASSE_PERMS;MASSE_CNSTA;VITSS_PERMS;VITSS_CNSTA;ADM_ORIG_VEH
DI999915WQL300;IN99999XHYZ000;2022-01-18;A;71083;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Dimension;;;;;Ontario
DI999959WQL300;IN9999AYHYZ000;2022-01-18;C;58227;RIG;c.C-24.2;328;CO;VR;Véhicule routier;Règles de circulation;;;50;75;Québec
DI99999DWQL300;IN9999BZHYZ000;2022-01-18;C;58227;CST;c.C-24.2;359.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI99996AWQL300;IN9999E0IYZ000;2022-01-18;T;23027;RIG;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999BFWQL300;IN9999F1IYZ000;2022-01-18;C;99015;RIG;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999DHWQL300;IN9999G2IYZ000;2022-01-18;C;58227;RIG;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999FJWQL300;IN9999H3IYZ000;2022-01-18;C;23027;RIG;c.C-24.2;361;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999GKWQL300;IN9999I4IYZ000;2022-01-18;T;25213;RIG;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;;;;Québec
DI9999IMWQL300;IN9999J5IYZ000;2022-01-18;C;23027;RIG;c.C-24.2;361;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999LPWQL300;IN9999K6IYZ000;2022-01-18;C;37067;RIG;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999MQWQL300;IN9999L7IYZ000;2022-01-19;C;37067;CST;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999Y0XQL300;IN9999M8IYZ000;2022-01-19;C;23027;RIG;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI999946XQL300;IN9999OAIYZ000;2022-01-19;C;37067;RIG;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI999979XQL300;IN9999PBIYZ000;2022-01-19;T;66023;RIG;c.C-24.2;463;PR;HN;Véhicule hors normes;Surcharge axiale;9000;13800;;;Québec
DI999979XQL300;IN9999QCIYZ000;2022-01-19;C;66023;CST;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI99995TPOL300;IN9999RDIYZ000;2022-01-19;T;73025;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999FHXQL300;IN9999SEIYZ000;2022-01-19;C;66023;CST;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999FHXQL300;IN9999TFIYZ000;2022-01-19;C;66023;CST;c.T-11.2;55;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;;;;Québec
DI9999NPXQL300;IN9999UGIYZ000;2022-01-19;C;66023;RIG;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999KMXQL300;IN9999VHIYZ000;2022-01-19;C;33035;RIG;c.C-24.2;327;AU;AU;Autre véhicule;Règles de circulation;;;;;Québec
DI9999MOXQL300;IN9999WIIYZ000;2022-01-19;C;58227;RIG;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999VXXQL300;IN9999XJIYZ000;2022-01-19;C;66023;CST;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI9999LNXQL300;IN9999YKIYZ000;2022-01-19;C;23027;RIG;c.C-24.2;93.1;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999RTXQL300;IN9999ZLIYZ000;2022-01-19;C;66047;RIG;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;;;;Ontario
DI999900YQL300;IN99990MIYZ000;2022-01-19;C;65005;RIG;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;;;;Québec
DI999922YQL300;IN99991NIYZ000;2022-01-19;C;21025;RIG;c.C-24.2;310;CO;VR;Véhicule routier;Signalisation routière;;;;;Québec
DI999944YQL300;IN99992OIYZ000;2022-01-19;C;66023;RIG;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999EEYQL300;IN99993PIYZ000;2022-01-19;C;58227;RIG;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999LLYQL300;IN99995RIYZ000;2022-01-19;C;66023;CST;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999KKYQL300;IN99997TIYZ000;2022-01-19;C;99015;RIG;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999HHYQL300;IN99998UIYZ000;2022-01-19;T;25213;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;49500;50240;;;Québec
DI9999RRYQL300;IN99999VIYZ000;2022-01-19;C;61025;RIG;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI999931ZQL300;IN9999CYIYZ000;2022-01-19;C;66023;RIG;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI999920ZQL300;IN9999DZIYZ000;2022-01-19;T;58033;RIG;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999ZRTKL300;IN9999G0JYZ000;2021-10-15;T;64008;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999NNYQL300;IN9999H1JYZ000;2022-01-19;T;13073;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;18000;20710;;;Québec
DI9999TTYQL300;IN9999I2JYZ000;2022-01-13;C;58033;RIG;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999TTYQL300;IN9999K4JYZ000;2022-01-13;T;58033;RIG;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999CAZQL300;IN9999P9JYZ000;2022-01-19;C;47017;RIG;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI999986ZQL300;IN9999QAJYZ000;2022-01-19;C;38035;RIG;c.C-24.2;274;PR;VR;Véhicule routier;Équipement;;;;;Québec
DI9999IGZQL300;IN9999RBJYZ000;2022-01-19;C;54048;RIG;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;;;;Québec
DI9999VTZQL300;IN9999SCJYZ000;2022-01-19;C;66023;RIG;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999YWZQL300;IN9999VFJYZ000;2022-01-19;T;15013;RIG;c.C-24.2;31.1;PR;VR;Véhicule routier;Immatriculation;;;;;Québec
DI999997ZQL300;IN9999WGJYZ000;2022-01-19;T;89008;CST;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;;;;Alberta
DI99990YZQL300;IN9999XHJYZ000;2022-01-19;C;66023;CST;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI9999ZRTKL300;IN9999YIJYZ000;2021-11-28;T;64008;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999PNZQL300;IN9999ZJJYZ000;2022-01-19;C;66023;CST;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999KIZQL300;IN99990KJYZ000;2022-01-19;T;91020;RIG;c.C-24.2;463;PR;VL;Véhicule lourd;Surcharge totale;57500;60650;;;Québec
DI9999C50RL300;IN99991LJYZ000;2022-01-19;C;54048;RIG;c.C-24.2;370;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999A30RL300;IN99992MJYZ000;2022-01-19;C;21030;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI9999G90RL300;IN99994OJYZ000;2022-01-19;T;62037;RIG;c.C-24.2;31.1;PR;VR;Véhicule routier;Immatriculation;;;;;Québec
DI9999DBZQL300;IN99995PJYZ000;2022-01-19;T;58227;RIG;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;;;;Québec
DI9999PI0RL300;IN99996QJYZ000;2022-01-19;C;66023;RIG;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999PI0RL300;IN99997RJYZ000;2022-01-19;C;66023;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI9999MF0RL300;IN99998SJYZ000;2022-01-19;A;25213;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;57500;58230;;;Ontario
DI9999UN0RL300;IN99999TJYZ000;2022-01-19;T;94068;RIG;c.C-24.2;534;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999SL0RL300;IN9999AUJYZ000;2022-01-19;C;10043;RIG;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;;70;99;Québec
DI99994X0RL300;IN9999BVJYZ000;2022-01-19;C;62037;CST;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999NG0RL300;IN9999CWJYZ000;2022-01-19;C;99015;RIG;c.C-24.2;513;CO;EN;Ensemble de véhicules routiers;Permis spécial;;;;;Québec
DI9999E70RL300;IN9999DXJYZ000;2022-01-19;T;97007;RIG;c.C-24.2;257.1;EX;VL;Véhicule lourd;Équipement;;;;;Québec
DI9999B21RL300;IN9999K2KYZ000;2022-01-19;C;94068;RIG;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999901RL300;IN9999P7KYZ000;2022-01-19;C;97007;RIG;c.C-24.2;423;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999A11RL300;IN9999Q8KYZ000;2022-01-19;C;66023;RIG;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Ontario
DI9999ZRTKL300;IN9999R9KYZ000;2021-12-13;T;64008;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999KB1RL300;IN9999UCKYZ000;2022-01-19;C;96025;RIG;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999I91RL300;IN9999VDKYZ000;2022-01-19;T;43027;RIG;c.P-30.3;48;EX;VL;Véhicule lourd;Règlement sur les PEVL;;;;;Québec
DI9999QH1RL300;IN9999XFKYZ000;2022-01-19;T;57045;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;18000;19600;;;Québec
DI9999XO1RL300;IN99991JKYZ000;2022-01-19;T;97007;RIG;c.C-24.2;54;PR;VR;Véhicule routier;Immatriculation;;;;;Québec
DI9999ZQ1RL300;IN99992KKYZ000;2022-01-19;A;85005;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;62500;62800;;;Ontario
DI99993U1RL300;IN99993LKYZ000;2022-01-19;C;85005;RIG;c.C-24.2;292;CD;VL;Véhicule lourd;Signalisation routière;;;;;Québec
DI9999ZQ1RL300;IN99994MKYZ000;2022-01-19;A;85005;RIG;c.C-24.2;531;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Ontario
DI9999MB2RL300;IN99995NKYZ000;2022-01-19;A;71083;CST;c.C-24.2;519.36;PR;VL;Véhicule lourd;Immatriculation;;;;;Ontario
DI9999SH2RL300;IN99996OKYZ000;2022-01-19;C;66023;RIG;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999NE1RL300;IN99997PKYZ000;2022-01-19;T;58227;RIG;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999PE2RL300;IN9999BTKYZ000;2022-01-19;C;75017;RIG;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;;;;Québec
DI99991Q2RL300;IN9999CUKYZ000;2022-01-19;C;66023;CST;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999VK2RL300;IN9999DVKYZ000;2022-01-19;C;14060;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Ontario
DI99995U2RL300;IN9999EWKYZ000;2022-01-19;C;16013;RIG;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;;;;Québec
DI9999G33RL300;IN9999FXKYZ000;2022-01-19;C;66023;RIG;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI99994T2RL300;IN9999HZKYZ000;2022-01-19;T;43027;RIG;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999D03RL300;IN9999K0LYZ000;2022-01-19;A;57045;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;18000;19040;;;
DI99992R2RL300;IN9999L1LYZ000;2022-01-19;A;75017;RIG;c.C-24.2;463;PR;HN;Véhicule hors normes;Surcharge totale;5520;5850;;;Québec
DI99994T2RL300;IN9999M2LYZ000;2022-01-19;C;43027;RIG;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999PC3RL300;IN9999N3LYZ000;2022-01-19;C;66023;CST;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999SF3RL300;IN9999P5LYZ000;2022-01-19;C;97007;RIG;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;;70;93;Québec
DI9999RE3RL300;IN9999Q6LYZ000;2022-01-19;T;43027;RIG;c.C-24.2;531;EX;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999VI3RL300;IN9999R7LYZ000;2022-01-19;T;58033;RIG;c.P-30.3;48;EX;VL;Véhicule lourd;Règlement sur les PEVL;;;;;Québec
DI99993S2RL300;IN9999S8LYZ000;2022-01-19;C;23072;CST;c.C-24.2;105;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999G14RL300;IN9999T9LYZ000;2022-01-19;T;25213;RIG;c.C-24.2;257.1;PR;VL;Véhicule lourd;Équipement;;;;;Québec
DI9999K54RL300;IN9999UALYZ000;2022-01-19;C;64008;CST;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999I34RL300;IN9999VBLYZ000;2022-01-19;C;14060;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Nouveau-Brunswick
DI9999ZM3RL300;IN9999WCLYZ000;2022-01-19;C;39097;RIG;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Ontario
DI9999N84RL300;IN9999XDLYZ000;2022-01-19;C;66023;RIG;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999RC4RL300;IN99990GLYZ000;2022-01-19;T;88065;RIG;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;;;;Québec
DI9999350OL300;IN99995LLYZ000;2022-01-18;T;66023;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999O94RL300;IN99996MLYZ000;2022-01-19;T;23027;RIG;c.C-24.2;31.1;PR;VR;Véhicule routier;Immatriculation;;;;;Québec
DI9999VG4RL300;IN99997NLYZ000;2022-01-19;T;66023;RIG;c.C-24.2;463;PR;HN;Véhicule hors normes;Dimension;;;;;Québec
DI99995Q4RL300;IN99999PLYZ000;2022-01-19;C;66023;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI99999U4RL300;IN9999AQLYZ000;2022-01-19;C;66023;RIG;c.C-24.2;463;PR;HN;Véhicule hors normes;Dimension;;;;;Québec
DI9999AV4RL300;IN9999BRLYZ000;2022-01-19;T;66023;RIG;c.C-24.2;463;PR;HN;Véhicule hors normes;Dimension;;;;;Québec
DI9999O94RL300;IN9999CSLYZ000;2022-01-19;C;23027;RIG;c.C-24.2;464;CO;HN;Véhicule hors normes;Permis spécial;;;;;Québec
DI9999CX4RL300;IN9999DTLYZ000;2022-01-19;C;66023;RIG;c.C-24.2;105;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999CX4RL300;IN9999EULYZ000;2022-01-19;T;66023;RIG;c.P-30.3;48;EX;VL;Véhicule lourd;Règlement sur les PEVL;;;;;Québec
DI9999N65RL300;IN9999FVLYZ000;2022-01-19;T;70052;RIG;c.C-24.2;30;PR;VR;Véhicule routier;Immatriculation;;;;;Québec
DI99990J5RL300;IN9999GWLYZ000;2022-01-19;T;70052;RIG;c.C-24.2;225;PR;VR;Véhicule routier;Équipement;;;;;Québec
DI99999S5RL300;IN9999JZLYZ000;2022-01-19;A;81017;RIG;c.C-24.2;473;PR;VL;Véhicule lourd;Dimension;;;;;Québec
DI99999S5RL300;IN9999M0MYZ000;2022-01-19;A;81017;RIG;c.P-30.3;5;PR;VL;Véhicule lourd;Règlement sur les PEVL;;;;;Québec
DI9999GZ5RL300;IN9999YCMYZ000;2022-01-19;T;25213;RIG;c.C-24.2;517.2;AU;VL;Véhicule lourd;Surcharge totale;;;;;Québec
DI9999M36RL300;IN9999ZDMYZ000;2022-01-19;C;71050;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Ontario
DI9999R86RL300;IN99990EMYZ000;2022-01-19;C;22035;RIG;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999TA6RL300;IN99991FMYZ000;2022-01-19;C;17078;RIG;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Nouveau-Brunswick
DI9999WD6RL300;IN99992GMYZ000;2022-01-19;C;71050;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Ontario
DI9999YF6RL300;IN99993HMYZ000;2022-01-19;A;71070;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Dimension;;;;;Ontario
DI99994L6RL300;IN99994IMYZ000;2022-01-20;C;51008;CST;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999CT6RL300;IN99996KMYZ000;2022-01-20;T;58227;CST;c.C-24.2;463;PR;HN;Véhicule hors normes;Dimension;;;;;Québec
DI9999DU6RL300;IN99997LMYZ000;2022-01-20;C;36033;RIG;c.C-24.2;328;CO;VR;Véhicule routier;Règles de circulation;;;90;105;Québec
DI9999DU6RL300;IN99998MMYZ000;2022-01-20;C;36033;RIG;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;;;;Québec
DI9999N27RL300;IN9999BPMYZ000;2022-01-20;C;57045;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Ontario
DI9999P47RL300;IN9999CQMYZ000;2022-01-20;T;57045;RIG;c.C-24.2;523;EX;VL;Véhicule lourd;Vérification mécanique (fréquence);;;;;Québec
DI9999Q57RL300;IN9999DRMYZ000;2022-01-20;C;57045;RIG;c.C-24.2;327;AU;AU;Autre véhicule;Règles de circulation;;;;;Île-du-Prince-Édouard
DI9999T87RL300;IN9999IWMYZ000;2022-01-20;C;23072;RIG;c.C-24.2;473;PR;EN;Ensemble de véhicules routiers;Dimension;;;;;Québec
DI99998V3RL300;IN9999LZMYZ000;2022-01-19;C;57035;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI99993I7RL300;IN9999Q2NYZ000;2022-01-20;C;14065;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI99995K7RL300;IN9999R3NYZ000;2022-01-20;C;66023;RIG;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;;70;92;Québec
DI99995K7RL300;IN9999S4NYZ000;2022-01-20;C;66023;RIG;c.C-24.2;102;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI99996L7RL300;IN9999T5NYZ000;2022-01-20;C;70052;CST;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;;;;Ontario
DI9999NLZQL300;IN9999UEJYZ000;2022-01-19;C;65005;RIG;c.C-24.2;39.1;AU;VR;Véhicule routier;Immatriculation;;;;;Québec
DI99997M7RL300;IN9999YANYZ000;2022-01-20;T;57045;RIG;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;;;;Québec
DI9999XA8RL300;IN99990CNYZ000;2022-01-20;C;66023;RIG;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999Q38RL300;IN99991DNYZ000;2022-01-20;C;70052;RIG;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;;;;Ontario
DI9999ZC8RL300;IN99992ENYZ000;2022-01-20;C;89008;CST;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI99997M7RL300;IN99994GNYZ000;2022-01-20;C;57045;RIG;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999N08RL300;IN99995HNYZ000;2022-01-20;C;58007;RIG;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;;;;Québec
DI99993G8RL300;IN99998KNYZ000;2022-01-20;T;66023;CST;c.C-24.2;519.17;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999AP7RL300;IN9999BNNYZ000;2022-01-20;C;58007;RIG;c.C-24.2;65;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999AP7RL300;IN9999CONYZ000;2022-01-20;T;58007;RIG;c.C-24.2;106;EX;VL;Véhicule lourd;Permis de conduire;;;;;Nouveau-Brunswick
DI9999S39RL300;IN9999GSNYZ000;2022-01-20;C;66023;CST;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;;70;95;Québec
DI9999GT8RL300;IN9999JVNYZ000;2022-01-20;T;23072;RIG;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;;;;Québec
DI9999AFCRL300;IN99999HPYZ000;2022-01-20;C;94068;RIG;c.C-24.2;65;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999BSORL300;IN9999XOEZZ000;2022-01-21;C;23027;RIG;c.C-24.2;65;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI99992H7RL300;IN9999NZNYZ000;2022-01-20;C;14060;CST;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Ontario
DI9999V69RL300;IN9999Q0OYZ000;2022-01-20;C;70052;RIG;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;;;;Ontario
DI9999X89RL300;IN9999R1OYZ000;2022-01-20;T;43027;RIG;c.P-30.3;5;PR;VL;Véhicule lourd;Règlement sur les PEVL;;;;;Québec
DI9999KZ7RL300;IN9999S2OYZ000;2022-01-20;T;59020;RIG;c.C-24.2;257.1;EX;VL;Véhicule lourd;Équipement;;;;;Québec
DI99992H7RL300;IN9999T3OYZ000;2022-01-20;A;14060;CST;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Alberta
DI9999AN8RL300;IN9999U4OYZ000;2022-01-20;C;23072;CST;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;;;;Québec
DI99997I9RL300;IN9999V5OYZ000;2022-01-20;T;86042;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;57500;58820;;;Québec
DI99990B9RL300;IN9999W6OYZ000;2022-01-20;T;25213;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;18000;19100;;;Québec
DI9999MX9RL300;IN9999Y8OYZ000;2022-01-20;C;66023;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI9999BM9RL300;IN9999Z9OYZ000;2022-01-20;T;66023;RIG;c.T-11.2;69;PR;AQ;Automobile qualifiée;Règlement concernant le tr. rémunéré de pers. par automobile;;;;;Québec
DI9999KV9RL300;IN99990AOYZ000;2022-01-20;C;66023;RIG;c.T-11.2;73;PR;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;;;;Québec
DI9999Y7ARL300;IN99991BOYZ000;2022-01-20;C;66023;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI9999FQ9RL300;IN99992COYZ000;2022-01-20;C;30030;RIG;c.C-24.2;93.1;CO;VR;Véhicule routier;Permis de conduire;;;;;Québec
DI9999JKERL300;IN9999OUQYZ000;2022-01-20;C;25213;RIG;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999U3ARL300;IN99993DOYZ000;2022-01-20;C;75017;CST;c.C-24.2;413;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI9999AL9RL300;IN99994EOYZ000;2022-01-20;C;70052;CST;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;;;;Ontario
DI99993CARL300;IN99996GOYZ000;2022-01-20;C;35055;RIG;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;;70;105;Québec
DI99995EARL300;IN99997HOYZ000;2022-01-20;C;58007;RIG;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999T68RL300;IN99998IOYZ000;2022-01-20;T;86042;CST;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;41500;42720;;;Québec
DI9999CLARL300;IN99999JOYZ000;2022-01-20;C;66023;RIG;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;;;;Québec
DI99996FARL300;IN9999CMOYZ000;2022-01-20;T;60013;RIG;c.P-30.3;48;AU;VL;Véhicule lourd;Règlement sur les PEVL;;;;;Québec
DI99998J9RL300;IN9999DNOYZ000;2022-01-20;T;58007;RIG;c.P-30.3;48;AU;VL;Véhicule lourd;Règlement sur les PEVL;;;;;Québec
DI9999W5ARL300;IN9999EOOYZ000;2022-01-20;T;94068;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;18000;19550;;;Québec
DI9999W79RL300;IN9999FPOYZ000;2022-01-06;C;43027;RIG;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999LW9RL300;IN9999GQOYZ000;2022-01-20;T;59035;RIG;c.C-24.2;518;PR;VR;Véhicule routier;Immatriculation;;;;;Québec
DI9999DMARL300;IN9999HROYZ000;2022-01-20;T;57045;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;57500;58100;;;Québec
DI9999LW9RL300;IN9999ISOYZ000;2022-01-20;C;59035;RIG;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI99994BBRL300;IN9999MWOYZ000;2022-01-20;C;66023;RIG;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;;;;Nouvelle-Écosse
DI9999QZARL300;IN9999JTOYZ000;2022-01-20;T;77022;RIG;c.C-24.2;531;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI999918BRL300;IN9999NXOYZ000;2022-01-20;T;60013;RIG;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;;;;Québec
DI9999CJBRL300;IN9999OYOYZ000;2022-01-20;C;59020;RIG;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;;;;Québec
